pubchem_cid,SMILES
11388558,CC(C)CC(C)C1=C(C=CS1)NC(=O)C2=CN(N=C2C(F)(F)F)C
118734988,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC3=C(C=C2)OC(=N3)SCC4=CC=C(C=C4)OC(F)(F)F
3341,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C
10365,C1=CN=C(C=C1C(=O)O)C(=O)O
5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
8617,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
44093,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
124326,C1CN(CCN(CCN1CC(=O)O)CC(=O)O)CC(=O)O
224672,C1=CC2=C(C=CN=C2C=C1Cl)SCC(=O)O
521298,C1=CC=C2C(=C1)C(=O)C(=CO2)C#N
725542,CCCC1=CC=C(C=C1)C(=O)CCC(=O)O
101806257,C1CN(CCN(CCN1C(=S)[S-])C(=S)[S-])C(=S)[S-].[Na+].[Na+].[Na+]
127043370,CCCCC1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=C3N
136175172,C1=CC(=CC(=C1)Cl)NC(=O)CSC2=NNC(=N2)C3=CC=C(C=C3)O
162653894,CC(C)(C)OC(=O)NCCN1C(=O)C2=CC=CC=C2[Se]1
122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O
932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
4055,CC1=CC(=O)C2=CC=CC=C2C1=O
555696,C1C2=C(C=CC=C2OC1=O)[N+](=O)[O-]
5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
10080899,CC(C)C1=C2CC(=O)OC2=CC=C1
69001978,C1=CC(=C2C(=C1)OC(C2=O)O)O
88655097,C1=CC=C2C(=C1)C(=O)C(O2)[N+](=O)[O-]
118986866,C1=CC2=C(C=C1O)C(=O)C(O2)O
118986867,C1=CC2=C(C=C1O)O/C(=C\C3=C(C(=C(C=C3)O)O)O)/C2=O
1820399,CCCCC1=CC=C(C=C1)NS(=O)(=O)C2=C3C=CC=C4C3=C(C=C2)NC4=O
5382771,C1OC2=C(O1)C=C(C=C2)/C=C/C(=O)C3=CC=C(C=C3)[N+](=O)[O-]
6178946,C1=CC=C2C=C(C=CC2=C1)C(=O)/C=C/C3=CC=C(C=C3)C(=O)O
12142457,C1=CC=C2C=C(C=CC2=C1)/C=C/C(=O)C3=CC=C(C=C3)Br
12773960,CC1=C[C@H]([C@@H]([C@H](C1)C2=C(C=C(C=C2)O)O)C(=O)C3=C(C=C(C=C3)O)O)C4=C(C=C(C5=C4OC(=C(C5=O)CC=C(C)C)C6=C(C=C(C=C6)O)O)O)O
17759602,C1CCC(CC1)C2=C(C=CC(=C2)C3=CC(=C(C=C3)F)C(F)(F)F)C4=CC(=NO4)C(=O)O
20866464,CC(C(C1=CC=CS1)N2CCN(CC2)C3=CC=C(C=C3)F)NC(=O)C(=O)NCC4=CN=CC=C4
20866499,CC(C(C1=CC=CS1)N2CCN(CC2)C3=CC=C(C=C3)OC)NC(=O)C(=O)NCC4=CC=CO4
21595066,CC1=C[C@@H]([C@@H]([C@H](C1)C2=C(C=C(C=C2)O)O)C(=O)C3=C(C(=C(C=C3)O)CC=C(C)C)O)C4=C(C=C(C=C4O)/C=C/C5=C(C=C(C=C5)O)O)O
